✓ 收到  workloadf  [process_num_30] 2025-04-18_22-43-01---workloadf  305,562.00 ops/s  AvgPwr: 952.57 W, StartPwr: 792 W, Δ: 160.57 W
✓ 收到  workloadf  [process_num_30] 2025-04-19_11-46-39---workloadf  306,247.95 ops/s  AvgPwr: 960.88 W, StartPwr: 792 W, Δ: 168.88 W
✓ 收到  workloada  [process_num_20] 2025-04-19_05-03-59---workloada  211,451.22 ops/s  AvgPwr: 911.70 W, StartPwr: 792 W, Δ: 119.70 W
✓ 收到  workloadf  [process_num_20] 2025-04-18_22-35-55---workloadf  205,338.21 ops/s  AvgPwr: 916.98 W, StartPwr: 792 W, Δ: 124.98 W
✓ 收到  workloadf  [process_num_20] 2025-04-19_08-23-28---workloadf  205,899.23 ops/s  AvgPwr: 906.15 W, StartPwr: 792 W, Δ: 114.15 W
✓ 收到  workloada  [process_num_20] 2025-04-19_11-36-07---workloada  212,651.82 ops/s  AvgPwr: 919.20 W, StartPwr: 792 W, Δ: 127.20 W
✓ 收到  workloadf  [process_num_20] 2025-04-19_01-51-34---workloadf  206,994.90 ops/s  AvgPwr: 913.46 W, StartPwr: 792 W, Δ: 121.46 W
✓ 收到  workloadf  [process_num_20] 2025-04-18_19-19-41---workloadf  207,476.11 ops/s  AvgPwr: 918.60 W, StartPwr: 792 W, Δ: 126.60 W
✓ 收到  workloadf  [process_num_20] 2025-04-19_11-39-34---workloadf  207,066.64 ops/s  AvgPwr: 929.85 W, StartPwr: 792 W, Δ: 137.85 W
✓ 收到  workloada  [process_num_20] 2025-04-19_01-48-08---workloada  213,402.66 ops/s  AvgPwr: 911.69 W, StartPwr: 792 W, Δ: 119.69 W
✓ 收到  workloada  [process_num_20] 2025-04-18_19-16-13---workloada  212,032.00 ops/s  AvgPwr: 909.90 W, StartPwr: 792 W, Δ: 117.90 W
✓ 收到  workloada  [process_num_20] 2025-04-18_22-32-27---workloada  211,641.53 ops/s  AvgPwr: 915.90 W, StartPwr: 792 W, Δ: 123.90 W
✓ 收到  workloada  [process_num_20] 2025-04-19_08-19-59---workloada  210,365.07 ops/s  AvgPwr: 908.49 W, StartPwr: 792 W, Δ: 116.49 W
✓ 收到  workloadf  [process_num_20] 2025-04-19_05-07-28---workloadf  205,822.24 ops/s  AvgPwr: 908.10 W, StartPwr: 792 W, Δ: 116.10 W
✓ 收到  workloada  [process_num_88] 2025-04-18_20-11-09---workloada  799,294.44 ops/s  AvgPwr: 1014.55 W, StartPwr: 792 W, Δ: 222.55 W
✓ 收到  workloada  [process_num_88] 2025-04-19_02-43-00---workloada  800,149.12 ops/s  AvgPwr: 1012.80 W, StartPwr: 780 W, Δ: 232.80 W
✓ 收到  workloadf  [process_num_88] 2025-04-19_06-03-35---workloadf  779,221.99 ops/s  AvgPwr: 1019.73 W, StartPwr: 780 W, Δ: 239.73 W
✓ 收到  workloadf  [process_num_88] 2025-04-19_12-35-45---workloadf  783,378.11 ops/s  AvgPwr: 1019.48 W, StartPwr: 780 W, Δ: 239.48 W
✓ 收到  workloadf  [process_num_88] 2025-04-19_02-47-44---workloadf  781,923.93 ops/s  AvgPwr: 1012.24 W, StartPwr: 780 W, Δ: 232.24 W
✓ 收到  workloadf  [process_num_88] 2025-04-19_09-19-36---workloadf  781,523.37 ops/s  AvgPwr: 1016.80 W, StartPwr: 792 W, Δ: 224.80 W
✓ 收到  workloadf  [process_num_88] 2025-04-18_20-15-51---workloadf  781,634.34 ops/s  AvgPwr: 1022.40 W, StartPwr: 792 W, Δ: 230.40 W
✓ 收到  workloada  [process_num_88] 2025-04-19_12-31-01---workloada  798,297.65 ops/s  AvgPwr: 1022.93 W, StartPwr: 780 W, Δ: 242.93 W
